column_name,display_name,category,dtype,unit,source,native_resolution,computation,coverage,notes
cbs_exports_total_qq,Total Exports (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change,1996–2025,—
cbs_exports_total_yy,Total Exports (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change,1996–2025,—
cbs_final_exp_total_qq,Total Final Expenditure (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change,1996–2025,—
cbs_final_exp_total_yy,Total Final Expenditure (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change,1996–2025,—
cbs_gep_elec_hh_network,Electricity Household Network Price,CBS GEP,float64,Euro/kWh,CBS Gas & Electricity Prices,Semi-annual → Monthly,Network component of household electricity price (2.5–5 MWh/yr); incl. VAT,2009–2025,Semester value replicated to 6 monthly rows
cbs_gep_elec_hh_supply,Electricity Household Supply Price,CBS GEP,float64,Euro/kWh,CBS Gas & Electricity Prices,Semi-annual → Monthly,Supply component of household electricity price; incl. VAT,2009–2025,—
cbs_gep_elec_hh_total,Electricity Household Total Price,CBS GEP,float64,Euro/kWh,CBS Gas & Electricity Prices,Semi-annual → Monthly,Total household electricity price; incl. all taxes and VAT,2009–2025,—
cbs_gep_elec_nnh_lrg_network,Electricity Non-Household Large Network Price,CBS GEP,float64,Euro/kWh,CBS Gas & Electricity Prices,Semi-annual → Monthly,Network component for large non-household consumers (≥ 150 000 MWh/yr),2009–2025,—
cbs_gep_elec_nnh_lrg_supply,Electricity Non-Household Large Supply Price,CBS GEP,float64,Euro/kWh,CBS Gas & Electricity Prices,Semi-annual → Monthly,Supply component for large non-household consumers,2009–2025,—
cbs_gep_elec_nnh_lrg_total,Electricity Non-Household Large Total Price,CBS GEP,float64,Euro/kWh,CBS Gas & Electricity Prices,Semi-annual → Monthly,Total price for large non-household consumers,2009–2025,—
cbs_gep_elec_nnh_med_network,Electricity Non-Household Medium Network Price,CBS GEP,float64,Euro/kWh,CBS Gas & Electricity Prices,Semi-annual → Monthly,Network component for medium non-household consumers (500–2 000 MWh/yr),2009–2025,—
cbs_gep_elec_nnh_med_supply,Electricity Non-Household Medium Supply Price,CBS GEP,float64,Euro/kWh,CBS Gas & Electricity Prices,Semi-annual → Monthly,Supply component for medium non-household consumers,2009–2025,—
cbs_gep_elec_nnh_med_total,Electricity Non-Household Medium Total Price,CBS GEP,float64,Euro/kWh,CBS Gas & Electricity Prices,Semi-annual → Monthly,Total price for medium non-household consumers,2009–2025,—
cbs_gep_gas_hh_network,Gas Household Network Price,CBS GEP,float64,Euro/m³,CBS Gas & Electricity Prices,Semi-annual → Monthly,Network component of household gas price (569–5 687 m³/yr); incl. VAT,2009–2025,—
cbs_gep_gas_hh_supply,Gas Household Supply Price,CBS GEP,float64,Euro/m³,CBS Gas & Electricity Prices,Semi-annual → Monthly,Supply component of household gas price; incl. VAT,2009–2025,—
cbs_gep_gas_hh_total,Gas Household Total Price,CBS GEP,float64,Euro/m³,CBS Gas & Electricity Prices,Semi-annual → Monthly,Total household gas price; incl. all taxes and VAT,2009–2025,—
cbs_gep_gas_nnh_lrg_network,Gas Non-Household Large Network Price,CBS GEP,float64,Euro/m³,CBS Gas & Electricity Prices,Semi-annual → Monthly,Network component for large non-household gas consumers (≥ 28 433 324 m³/yr),2009–2025,—
cbs_gep_gas_nnh_lrg_supply,Gas Non-Household Large Supply Price,CBS GEP,float64,Euro/m³,CBS Gas & Electricity Prices,Semi-annual → Monthly,Supply component for large non-household gas consumers,2009–2025,—
cbs_gep_gas_nnh_lrg_total,Gas Non-Household Large Total Price,CBS GEP,float64,Euro/m³,CBS Gas & Electricity Prices,Semi-annual → Monthly,Total price for large non-household gas consumers,2009–2025,—
cbs_gep_gas_nnh_med_network,Gas Non-Household Medium Network Price,CBS GEP,float64,Euro/m³,CBS Gas & Electricity Prices,Semi-annual → Monthly,Network component for medium non-household gas consumers (28 433–284 333 m³/yr),2009–2025,—
cbs_gep_gas_nnh_med_supply,Gas Non-Household Medium Supply Price,CBS GEP,float64,Euro/m³,CBS Gas & Electricity Prices,Semi-annual → Monthly,Supply component for medium non-household gas consumers,2009–2025,—
cbs_gep_gas_nnh_med_total,Gas Non-Household Medium Total Price,CBS GEP,float64,Euro/m³,CBS Gas & Electricity Prices,Semi-annual → Monthly,Total price for medium non-household gas consumers,2009–2025,—
cbs_imports_goods_qq,Imports of Goods (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change,1996–2025,—
cbs_imports_goods_yy,Imports of Goods (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change,1996–2025,—
cbs_imports_services_qq,Imports of Services (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change,1996–2025,—
cbs_imports_services_yy,Imports of Services (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change,1996–2025,—
cbs_imports_total_qq,Total Imports (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change,1996–2025,—
cbs_imports_total_yy,Total Imports (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change,1996–2025,—
cbs_inventories_qq,Inventories incl. Valuables (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Changes in inventories as % of GDP (q/q),1996–2025,—
cbs_inventories_yy,Inventories incl. Valuables (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Changes in inventories as % of GDP (y/y),1996–2025,—
cbs_natl_final_exp_qq,National Final Expenditure (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change,1996–2025,—
cbs_natl_final_exp_yy,National Final Expenditure (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change,1996–2025,—
knmi_temp_c,Temperature,KNMI Meteorology,float64,°C,KNMI Open Data Platform (non-validated),Hourly,Mean across all reporting stations (~61) of temperature at 1.5 m height,2015–2026,National spatial mean; non-validated (automated QC only)
knmi_dewpoint_c,Dew Point Temperature,KNMI Meteorology,float64,°C,KNMI Open Data Platform (non-validated),Hourly,Mean across all reporting stations of dew point temperature,2015–2026,—
knmi_wind_speed_ms,Wind Speed (10-min mean),KNMI Meteorology,float64,m/s,KNMI Open Data Platform (non-validated),Hourly,Mean across stations of 10-minute average wind speed at 10 m height,2015–2026,—
knmi_wind_speed_hourly_ms,Wind Speed (hourly mean),KNMI Meteorology,float64,m/s,KNMI Open Data Platform (non-validated),Hourly,Mean across stations of hourly average wind speed,2015–2026,—
knmi_wind_gust_ms,Wind Gust (maximum),KNMI Meteorology,float64,m/s,KNMI Open Data Platform (non-validated),Hourly,Mean across stations of maximum wind gust,2015–2026,—
knmi_solar_rad_jcm2,Global Solar Radiation,KNMI Meteorology,float64,J/cm²,KNMI Open Data Platform (non-validated),Hourly,Mean across stations of hourly global solar radiation,2015–2026,—
knmi_sunshine_h,Sunshine Duration,KNMI Meteorology,float64,h,KNMI Open Data Platform (non-validated),Hourly,Mean across stations of sunshine duration within the hour,2015–2026,Value 0–1 (fraction of hour)
knmi_humidity_pct,Relative Humidity,KNMI Meteorology,float64,%,KNMI Open Data Platform (non-validated),Hourly,Mean across stations of relative humidity,2015–2026,—
knmi_station_count,Reporting Station Count,KNMI Meteorology,float64,count,KNMI Open Data Platform (non-validated),Hourly,Number of KNMI stations reporting data for this hour,2015–2026,Typically ~50–61
knmi_val_temp_c,Temperature (validated),KNMI Meteorology (Validated),float64,°C,KNMI Open Data Platform (validated),Hourly,Same as knmi_temp_c but from expert-validated dataset,2012–2025,Expert-reviewed; corrections applied to erroneous automated measurements
knmi_val_dewpoint_c,Dew Point Temperature (validated),KNMI Meteorology (Validated),float64,°C,KNMI Open Data Platform (validated),Hourly,Same as knmi_dewpoint_c from validated dataset,2012–2025,—
knmi_val_wind_speed_ms,Wind Speed 10-min (validated),KNMI Meteorology (Validated),float64,m/s,KNMI Open Data Platform (validated),Hourly,Same as knmi_wind_speed_ms from validated dataset,2012–2025,—
knmi_val_wind_speed_hourly_ms,Wind Speed Hourly (validated),KNMI Meteorology (Validated),float64,m/s,KNMI Open Data Platform (validated),Hourly,Same as knmi_wind_speed_hourly_ms from validated dataset,2012–2025,—
knmi_val_wind_gust_ms,Wind Gust Max (validated),KNMI Meteorology (Validated),float64,m/s,KNMI Open Data Platform (validated),Hourly,Same as knmi_wind_gust_ms from validated dataset,2012–2025,—
knmi_val_solar_rad_jcm2,Global Solar Radiation (validated),KNMI Meteorology (Validated),float64,J/cm²,KNMI Open Data Platform (validated),Hourly,Same as knmi_solar_rad_jcm2 from validated dataset,2012–2025,—
knmi_val_sunshine_h,Sunshine Duration (validated),KNMI Meteorology (Validated),float64,h,KNMI Open Data Platform (validated),Hourly,Same as knmi_sunshine_h from validated dataset,2012–2025,—
knmi_val_humidity_pct,Relative Humidity (validated),KNMI Meteorology (Validated),float64,%,KNMI Open Data Platform (validated),Hourly,Same as knmi_humidity_pct from validated dataset,2012–2025,—
knmi_val_station_count,Reporting Station Count (validated),KNMI Meteorology (Validated),float64,count,KNMI Open Data Platform (validated),Hourly,Number of stations in validated dataset,2012–2025,—
month,Calendar Month,Temporal,int32,—,Derived from timestamp,Hourly,timestamp.dt.month,2012–2025,1–12
day,Calendar Day,Temporal,int32,—,Derived from timestamp,Hourly,timestamp.dt.day,2012–2025,1–31
hour,Hour of Day (UTC),Temporal,int32,—,Derived from timestamp,Hourly,timestamp.dt.hour,2012–2025,0–23
day_of_week,Day of Week (Sun=1),Temporal,int32,—,Derived from timestamp,Hourly,"(pandas dayofweek + 2) % 7, with 0 replaced by 7; 1=Sun … 7=Sat",2012–2025,—
is_weekend,Weekend Flag,Temporal,int64,—,Derived from timestamp,Hourly,1 if Saturday or Sunday (pandas dayofweek ∈ {5; 6}); 0 otherwise,2012–2025,Binary
day_of_year,Day of Year,Temporal,int32,—,Derived from timestamp,Hourly,timestamp.dt.dayofyear,2012–2025,1–365 (or 366 in leap years)
week_of_year,ISO Week of Year,Temporal,int64,—,Derived from timestamp,Hourly,timestamp.dt.isocalendar().week,2012–2025,1–53; ISO 8601 definition
quarter,Calendar Quarter,Temporal,int32,—,Derived from timestamp,Hourly,timestamp.dt.quarter,2012–2025,1–4
hour_sin,Hour of Day — Sine Component,Temporal (Cyclical),float64,—,Derived from timestamp,Hourly,sin(2π · hour / 24),2012–2025,"Cyclical encoding; together with hour_cos captures continuous 24 h periodicity; e.g. hour 0 → 0.0, hour 6 → 1.0, hour 12 → 0.0, hour 18 → −1.0"
hour_cos,Hour of Day — Cosine Component,Temporal (Cyclical),float64,—,Derived from timestamp,Hourly,cos(2π · hour / 24),2012–2025,"Cyclical encoding; hour 0 → 1.0, hour 6 → 0.0, hour 12 → −1.0, hour 18 → 0.0"
dow_sin,Day of Week — Sine Component,Temporal (Cyclical),float64,—,Derived from timestamp,Hourly,sin(2π · dayofweek / 7) where Monday=0,2012–2025,Cyclical encoding of 7-day weekly period; Mon=0-indexed for trig calculation
dow_cos,Day of Week — Cosine Component,Temporal (Cyclical),float64,—,Derived from timestamp,Hourly,cos(2π · dayofweek / 7) where Monday=0,2012–2025,Cyclical encoding of 7-day weekly period
month_sin,Month of Year — Sine Component,Temporal (Cyclical),float64,—,Derived from timestamp,Hourly,sin(2π · (month − 1) / 12),2012–2025,"Cyclical encoding of 12-month annual period; Jan → 0.0, Apr → 1.0, Jul → 0.0, Oct → −1.0"
month_cos,Month of Year — Cosine Component,Temporal (Cyclical),float64,—,Derived from timestamp,Hourly,cos(2π · (month − 1) / 12),2012–2025,"Cyclical encoding; Jan → 1.0, Apr → 0.0, Jul → −1.0, Oct → 0.0"
is_public_holiday,Dutch Public Holiday Flag,Holiday,int64,—,"Python `holidays` library (NL country code)",Hourly,1 if date is a Dutch public holiday; 0 otherwise,2012–2025 (complete),"Covers 10 public holidays/year (New Year, Good Friday, Easter, King's Day, Liberation Day, Ascension, Whit Sunday/Monday, Christmas); 143 unique dates"
is_school_holiday,Dutch School Holiday Flag,Holiday,int64,—,OpenHolidays API + week-of-year extrapolation,Hourly,"1 if date falls within any Dutch school holiday period; 0 otherwise. Exact dates from API for 2020–2025; week-of-year extrapolation for 2012–2019 using stable windows: Christmas wk51–1, Spring wk6–9, May wk17–18, Summer wk27–35, Autumn wk41–44",2012–2025,"National flag (any region on holiday); 5 periods/year; 2012–2019 approximate due to extrapolation. Source CSVs: data/calendar/nl_holidays.csv, data/calendar/nl_public_holidays.csv"
year,Calendar Year,Temporal,category,—,Derived from timestamp / Parquet partition key,Hourly,timestamp.dt.year; also serves as Parquet partition column,2012–2025,Stored as category type due to Parquet partitioning
load_lag_12h,Load Lag −12h,Lag (Autoregressive),float64,MW,Derived from entsoe_load_mw,Hourly,entsoe_load_mw.shift(12) — value from 12 hours earlier,2012–2025 (first 12h null),Autoregressive feature; captures half-day periodicity
load_lag_24h,Load Lag −24h,Lag (Autoregressive),float64,MW,Derived from entsoe_load_mw,Hourly,entsoe_load_mw.shift(24) — value from 24 hours earlier,2012–2025 (first 24h null),Captures same-hour-yesterday pattern (ACF=0.842 at lag 24)
load_lag_1w,Load Lag −1 Week,Lag (Autoregressive),float64,MW,Derived from entsoe_load_mw,Hourly,entsoe_load_mw.shift(168) — value from 168 hours (1 week) earlier,2012–2025 (first 168h null),Captures same-hour-same-weekday pattern (ACF=0.924 at lag 168)
load_lag_1y,Load Lag −1 Year,Lag (Autoregressive),float64,MW,Derived from entsoe_load_mw,Hourly,entsoe_load_mw.shift(8760) — value from 8760 hours (365 days) earlier,2013–2025 (first year null),Captures annual seasonality; 7.15% null (first year + ENTSO-E gaps)
solar_rad_lag_10h,Solar Radiation Lag −10h,Lag (Weather),float64,J/cm²,Derived from knmi_val_solar_rad_jcm2,Hourly,knmi_val_solar_rad_jcm2.shift(10) — validated solar radiation from 10 hours earlier,2012–2025 (first 10h null),CCF-optimal lag (r=−0.522 at lag −10h); captures PV generation → grid demand suppression
humidity_lag_12h,Humidity Lag −12h,Lag (Weather),float64,%,Derived from knmi_val_humidity_pct,Hourly,knmi_val_humidity_pct.shift(12) — validated humidity from 12 hours earlier,2012–2025 (first 12h null),Near CCF-optimal lag (peak r=+0.415 at lag −11h); humidity affects heating/cooling demand
temp_lag_107h,Temperature Lag −107h,Lag (Weather),float64,°C,Derived from knmi_val_temp_c,Hourly,knmi_val_temp_c.shift(107) — validated temperature from 107 hours (~4.5 days) earlier,2012–2025 (first 107h null),CCF-optimal lag for validated temp (r=−0.399 at lag −107h); multi-day thermal inertia
is_energy_crisis,Energy Crisis Flag,Event,int64,—,Derived from timestamp,Hourly,"1 if timestamp in [2022-01-01, 2023-06-30]; 0 otherwise",2012–2025 (complete),"Step variable for the European energy crisis (Russia-Ukraine war); 2022 demand trough at 11460 MW mean; 13104 hours flagged (10.7%)"
pca_cbs_knmi_01,PCA Component 1 (CBS + KNMI Val),PCA (Dimensionality Reduction),float64,—,"Derived from 75 CBS + KNMI validated features via sklearn PCA",Hourly,"StandardScaler → PCA(n_components=15); columns with >50% NaN excluded before fit",2018–2025 (CBS tariff + KNMI val intersection),"Largest variance direction; 95% cumulative variance at 15 components; NaN where any input feature is missing"
